Title,Details,Type
Eduardo,aid102_327@test.com,email
GSD-SMS-AndrewTest,9519563057@vtext.com,email
GSD-SMS-Test,9519563057@vzwpix.com,email
QA - Email contact with phone,aid102_198@test.com,email
QA - Email contact with phone,aid102_236@test.com,email
QA - Email contact with phone,aid102_272@test.com,email
QA - Email contact with phone,aid102_310@test.com,email
QA - Email contact with phone,aid100_346@test.com,email
QA - Email contact with phone,aid100_353@test.com,email
QA - Email contact with phone,aid100_360@test.com,email
QA - Email contact with phone,aid100_375@test.com,email
QA - Email contact with phone,aid100_383@test.com,email
QA - Email contact with phone,aid104_32@test.com,email
QA - Email contact with phone,aid104_70@test.com,email
QA - Email contact with phone,aid104_106@test.com,email
QA - Email contact with phone,aid104_124@test.com,email
QA Automated Contact,aid102_196@test.com,email
QA Automated Contact,aid102_233@test.com,email
QA Automated Contact,aid102_270@test.com,email
QA Automated Contact,aid102_307@test.com,email
QA Automated Contact,aid100_344@test.com,email
QA Automated Contact,aid100_351@test.com,email
QA Automated Contact,aid100_358@test.com,email
QA Automated Contact,aid100_373@test.com,email
QA Automated Contact,aid100_381@test.com,email
QA Automated Contact,aid104_30@test.com,email
QA Automated Contact,aid104_104@test.com,email
QA Automated Contact,aid104_122@test.com,email
QA Automated Contact,aid104_143@test.com,email
QA Automated Contact,aid104_159@test.com,email
Testt,2315455578@message.alltel.com,cellphone
Update cellphone to email 140,aid104_140@test.com,email
Update cellphone to email 214,aid102_214@test.com,email
Update cellphone to email 283,aid102_283@test.com,email
Update cellphone to email 321,aid102_321@test.com,email
Update cellphone to email 48,aid104_48@test.com,email
Update cellphone to email 80,aid104_80@test.com,email
VIC-GSD-SMS-Test,6196001325@txt.att.net,email
Walter Test Contact,wbing@gpstrackit.net,email
